"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"389","Abric Romaní","Level D Macromammal Fauna","Sequence I","35900","600","14C (radiocarbon) dating"
"391","Abric Romaní","Level D Macromammal Fauna","Sequence I","36490","230","14C (radiocarbon) dating"
"393","Abric Romaní","Level D Macromammal Fauna","Sequence I","25010","120","14C (radiocarbon) dating"
"395","Abric Romaní","Level D Macromammal Fauna","Sequence I","36300","1300","14C (radiocarbon) dating"
"397","Abric Romaní","Level D Macromammal Fauna","Sequence I","35000","500","14C (radiocarbon) dating"
"399","Abric Romaní","Level D Macromammal Fauna","Sequence I","42900","1600","U series (uranium-thorium) dating"
"401","Abric Romaní","Level D Macromammal Fauna","Sequence I","39400","1500","U series (uranium-thorium) dating"
"403","Abric Romaní","Level D Macromammal Fauna","Sequence I","43800","1500","U series (uranium-thorium) dating"
"405","Abric Romaní","Level D Macromammal Fauna","Sequence I","39100","1500","U series (uranium-thorium) dating"
"407","Abric Romaní","Level D Macromammal Fauna","Sequence I","40800","1300","U series (uranium-thorium) dating"
"409","Abric Romaní","Level D Macromammal Fauna","Sequence I","45100","1000","U series (uranium-thorium) dating"
"411","Abric Romaní","Level D Macromammal Fauna","Sequence I","45500","1300","U series (uranium-thorium) dating"
"413","Abric Romaní","Level D Macromammal Fauna","Sequence I","48600","400","U series (uranium-thorium) dating"
"415","Abric Romaní","Level D Macromammal Fauna","Sequence I","46100","1300","U series (uranium-thorium) dating"
"417","Abric Romaní","Level D Macromammal Fauna","Sequence I","42600","1100","U series (uranium-thorium) dating"
"419","Abric Romaní","Level D Macromammal Fauna","Sequence I","41500","2000","U series (uranium-thorium) dating"
"421","Abric Romaní","Level D Macromammal Fauna","Sequence I","35400","800","14C (radiocarbon) dating"
"423","Abric Romaní","Level D Macromammal Fauna","Sequence I","37200","900","14C (radiocarbon) dating"
"425","Abric Romaní","Level D Macromammal Fauna","Sequence I","37900","1000","14C (radiocarbon) dating"
