"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"205","Artenac","Artenac Layer 6/7 Fauna","Unit 6","-","-","-"
"206","Artenac","Artenac Layer 6/7 Fauna","Unit 7","-","-","-"
"207","Artenac","Artenac Layer 6a Fauna","Unit 6","-","-","-"
"208","Artenac","Artenac Layer 6b Fauna","Unit 6","-","-","-"
"209","Artenac","Artenac Layer 6c Fauna","Unit 6","-","-","-"
"210","Axlor","Axlor Nivel 3 human remains 1","Nivel 3","-","-","-"
"211","Axlor","Axlor Nivel 3 human remains 2","Nivel 3","-","-","-"
"212","Axlor","Axlor Nivel 3 human remains 3","Nivel 3","-","-","-"
"213","Axlor","Axlor Nivel 3 human remains 4","Nivel 3","-","-","-"
"214","Axlor","Axlor Nivel 3 human remains 5","Nivel 3","-","-","-"
"215","Axlor","Axlor Nivel 1 fauna","Nivel 1","-","-","-"
"216","Axlor","Axlor Nivel 2 fauna","Nivel 2","-","-","-"
"217","Axlor","Axlor Nivel 3 fauna","Nivel 3","-","-","-"
"218","Axlor","Axlor Nivel 4 fauna","Nivel 4","-","-","-"
"219","Axlor","Axlor Nivel 5 fauna","Nivel 5","-","-","-"
"220","Axlor","Axlor Nivel 6 fauna","Nivel 6","-","-","-"
"221","Axlor","Axlor Nivel 7 fauna","Nivel 7","-","-","-"
"222","Axlor","Axlor Nivel 8 fauna","Nivel 8","-","-","-"
"223","Axlor","Axlor Nivel B-C fauna","Nivel 3","-","-","-"
"224","Axlor","Axlor Nivel D fauna","Nivel 4","-","-","-"
"225","Azokh-1 Cave","Azokh 1, human remains 02","Unit II","-","-","-"
"226","Azokh-1 Cave","Azokh 1, Unit III, coll. 1960-1989 Fauna","Unit III","-","-","-"
"227","Azokh-1 Cave","Azokh 1, Unit III, coll. 2002-2009 Fauna","Unit III","-","-","-"
"228","Azokh-1 Cave","Azokh 1, Unit II, coll. 2002-2009 Fauna","Unit II","-","-","-"
"229","Azokh-1 Cave","Azokh 1, Unit III, coll. 2002-2009 micromammals","Unit III","-","-","-"
