Dummy,Locality,Assemblage name,GeoLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,Abrigo de la Malia,LU-IVa Macromammal Fauna,LU-IVa,OxA,OxA-39954,22650,170,170,14C (radiocarbon) dating,bone,2024,"Only sample for radiocarbon dating explicitly mentioned to come specifically from LU-IVa. All other RC dates from layer LU-IV cannot be confidently assigned to any of the sublayers, but their depths are recorded. Check Table S3."
,Abrigo de la Malia,LU-IVb Macromammal Fauna,LU-IVb,IPAS,TAM19-2,27700,1700,1700,OSL (optically stimulated thermoluminescence) dating,quartz,2024,-
,,,,,,,,,,,,
,,,,OxA,OxA-X-3250-17,26700,180,180,14C (radiocarbon) dating,bone,,"Obtained from the bottom of layer LU-IVb. RC dates from layer LU-IV cannot be confidently assigned to any of the sublayers, but their depths are recorded. Check Table S3"
,Abrigo de la Malia,LU-IVb Micromammal Fauna,LU-IVb,IPAS,TAM19-2,27700,1700,1700,OSL (optically stimulated thermoluminescence) dating,quartz,2024,-
,,,,,,,,,,,,
,,,,OxA,OxA-X-3250-17,26700,180,180,14C (radiocarbon) dating,bone,,"Obtained from the bottom of layer LU-IVb. RC dates from layer LU-IV cannot be confidently assigned to any of the sublayers, but their depths are recorded. Check Table S3"
,Abrigo de la Malia,LU-IVa Micromammal Fauna,LU-IVa,OxA,OxA-39954,22650,170,170,14C (radiocarbon) dating,bone,2024,"Only sample for radiocarbon dating explicitly mentioned to come specifically from LU-IVa. All other RC dates from layer LU-IV cannot be confidently assigned to any of the sublayers, but their depths are recorded. Check Table S3."
,Abrigo de la Malia,LU-V Micromammal Fauna,LU-V,IPAS,TAM19-1,35100,2100,2100,OSL (optically stimulated thermoluminescence) dating,quartz,2024,-
,,,,,,,,,,,,
,,,,OxA,OxA-38331,31100,400,400,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-39951,31060,410,410,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-42418,28950,300,300,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-42419,28680,290,290,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-43446,28750,310,310,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-43582,28790,310,310,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-X-3239-35,27670,310,310,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-X-3249-23,29800,1000,1000,14C (radiocarbon) dating,bone,,-
,Achenheim,"Loess recent, Fauna",Lower recent loess,-,-,34100,4300,4300,TL (thermoluminescence) dating,sediment,1998,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,37500,2900,2900,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,41500,5100,5100,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,42700,7700,7700,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,64900,5100,4700,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,65300,8500,8500,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,Achenheim,"Loess recent, Fauna",Upper recent loess,-,-,17000,2500,2500,TL (thermoluminescence) dating,sediment,1998,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
