"","Summary Statistic","mean","median","lower 95% HPD interval","upper 95% HPD interval","Group"
"160","Chagyrskaya 8",78161.4165,77583.7187,54115.2313,102070,"Strict | LesCottes no tip date"
"161","Denisova 11",103890,103360,80115.2175,128460,"Strict | LesCottes no tip date"
"162","Denisova 15",143950,143520,107380,180460,"Strict | LesCottes no tip date"
"163","Denisova 17",142970,142710,108820,176510,"Strict | LesCottes no tip date"
"164","Denisova 5",150780,150180,115480,187030,"Strict | LesCottes no tip date"
"165","El Sidron 1253",44829.6078,45218.1388,41430.7009,47049.9533,"Strict | LesCottes no tip date"
"166","Feldhofer 1",43668.1981,43646.3665,42670.6913,44633.989,"Strict | LesCottes no tip date"
"167","Feldhofer 2",43401.2714,43464.8955,42349.1772,44339.7906,"Strict | LesCottes no tip date"
"168","Fonds de Foret",39570.4236,39602.107,38538.2662,40599.9634,"Strict | LesCottes no tip date"
"169","Goyet 2878-2D",41346.5319,41875.1341,35572.8202,45636.6086,"Strict | LesCottes no tip date"
"170","Goyet Q305-1",41192.8911,41322.4681,30110.7165,49682.4267,"Strict | LesCottes no tip date"
"171","Goyet Q305-4",44253.1762,44233.2432,43430.4886,45051.289,"Strict | LesCottes no tip date"
"172","Goyet Q56-1",42507.9983,42492.0929,42080.0027,42942.3856,"Strict | LesCottes no tip date"
"173","GoyetQ57-2",41235.0841,41249.6418,40686.2012,41799.7796,"Strict | LesCottes no tip date"
"174","Hohlenstein-Stadel",149340,149310,96130.2046,202810,"Strict | LesCottes no tip date"
"175","LesCottesZ4-1514",64432.6589,63337.7368,41124.3047,90969.6494,"Strict | LesCottes no tip date"
"176","Mezmaiskaya 1",113040,113070,80457.4276,145810,"Strict | LesCottes no tip date"
"177","Mezmaiskaya 2",43833.6997,43862.1609,43060.8713,44599.8848,"Strict | LesCottes no tip date"
"178","Mezmaiskaya 3",103260,103430,68796.2333,136450,"Strict | LesCottes no tip date"
"179","Okladnikov 2",97655.4493,97305.0538,72374.5233,123230,"Strict | LesCottes no tip date"
"180","Pesturina 3",117300,117230,84929.76,148990,"Strict | LesCottes no tip date"
"181","Riparo Broion",40338.816,40782.3051,31743.539,46947.1939,"Strict | LesCottes no tip date"
"182","Scladina I-4A",137300,136960,100630,175090,"Strict | LesCottes no tip date"
"183","Spy94a",41831.2317,41980.2103,40030.6409,43299.8993,"Strict | LesCottes no tip date"
"184","Stajnia S5000",123840,123800,93097.489,155360,"Strict | LesCottes no tip date"
"185","Thorin",110740,110760,78008.0041,144100,"Strict | LesCottes no tip date"
"186","Trou Magritte 2422-36",43790.8757,43340.3174,35043.308,54224.6519,"Strict | LesCottes no tip date"
"187","Vindija 33.16",44772.5953,45001.3886,40913.2803,48179.0474,"Strict | LesCottes no tip date"
"188","Vindija 33.17",49496.5971,49447.8077,42298.9105,56893.3259,"Strict | LesCottes no tip date"
"189","Vindija 33.19",44990.0721,45072.4008,42397.6895,47599.7697,"Strict | LesCottes no tip date"
"190","Vindija 33.25",43812.4255,43342.5335,34602.7047,53782.2536,"Strict | LesCottes no tip date"
"191","Chagyrskaya 01",139450,135280,50763.5988,233890,"Strict | Sample from prior"
"192","Chagyrskaya 02",139140,135550,51374.382,230810,"Strict | Sample from prior"
"193","Chagyrskaya 17",139460,135300,52934.791,234060,"Strict | Sample from prior"
"194","Chagyrskaya 18",140810,137100,53205.494,235270,"Strict | Sample from prior"
"195","Chagyrskaya 19",139990,135710,53861.2995,234940,"Strict | Sample from prior"
"196","Chagyrskaya 20",140510,135950,53727.83,238360,"Strict | Sample from prior"
"197","Chagyrskaya 41",140410,137080,52884.2953,235730,"Strict | Sample from prior"
"198","Chagyrskaya 8",139160,135170,52493.9859,234830,"Strict | Sample from prior"
"199","Denisova 11",139280,135540,50935.944,233170,"Strict | Sample from prior"
"200","Denisova 15",240490,249470,153980,3e+05,"Strict | Sample from prior"
"201","Denisova 17",246260,252840,175330,299990,"Strict | Sample from prior"
"202","Denisova 5",241570,250450,156710,3e+05,"Strict | Sample from prior"
"203","El Sidron 1253",43875.1611,43953.1202,40748.5499,47049.7407,"Strict | Sample from prior"
"204","Feldhofer 1",43697.5503,43688.9916,42679.3418,44650.9008,"Strict | Sample from prior"
"205","Feldhofer 2",43307.5608,43324.9625,42312.0438,44336.5687,"Strict | Sample from prior"
"206","Fonds de Foret",39517.7656,39528.5408,38515.9159,40599.3036,"Strict | Sample from prior"
"207","Goyet 2878-2D",42294.9817,39794.1961,30001.1237,64121.6952,"Strict | Sample from prior"
