"","Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","X","Y","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage"
"55","Achenheim","Loess recent, Fauna","Lower recent loess","France","quarry",7.624766,48.578703,"",29000,71000,"geology (based on position of layers), stratigraphy","4-3","","-","-",37504,0.999644731455027
"56","Achenheim","Loess recent, Fauna","Upper recent loess","France","quarry",7.624766,48.578703,"",11700,29000,"geology (based on position of layers), stratigraphy","2-1","","-","-",20000,0.474447673351632
"57","Achenheim","Loess recent, Micromammals","Lower recent loess","France","quarry",7.624766,48.578703,"",29000,71000,"geology (based on position of layers), stratigraphy","4-3","","","-",37504,0.999644731455027
"58","Achenheim","Loess recent, Micromammals","Upper recent loess","France","quarry",7.624766,48.578703,"",11700,29000,"geology (based on position of layers), stratigraphy","2-1","","","-",20000,0.474447673351632
"59","Achenheim","Loess ancien sup., Fauna","Upper ancient loess","France","quarry",7.624766,48.578703,"",130000,300000,"geology (based on position of layers), stratigraphy","8-6","","-","-",NA,NA
"60","Achenheim","Loess ancien sup., Micromammals","Upper ancient loess","France","quarry",7.624766,48.578703,"",130000,300000,"geology (based on position of layers), stratigraphy","8-6","","","-",NA,NA
"61","Aghitu-3 Cave","Fauna Layer AH III","GH 3","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",20000,25000,"14C (radiocarbon) dating","-","1240","53","-",27814,1
"62","Aghitu-3 Cave","Fauna Layer AH IV","GH 4","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-",NA,NA
"63","Aghitu-3 Cave","Fauna Layer AH IV","GH 5","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-",NA,NA
"64","Aghitu-3 Cave","Fauna Layer AH IV","GH 6","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-",NA,NA
"65","Aghitu-3 Cave","Fauna Layer AH IV","GH 7","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-",NA,NA
"66","Aghitu-3 Cave","Fauna Layer AH V","GH 8","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25700,27000,"14C (radiocarbon) dating","-","34","20","-",31158,1
"67","Aghitu-3 Cave","Fauna Layer AH VI","GH 10","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",27500,32000,"14C (radiocarbon) dating","-","368","125","1",34572,1
"68","Aghitu-3 Cave","Fauna Layer AH VII","GH 11","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",30000,34500,"14C (radiocarbon) dating","-","247","129","5",39263,1
"69","Al Wusta","Archaeological horizon assemblage","Unit 3a","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",85100,113000,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","","","-",99688,1
"70","Al Wusta","Archaeological horizon assemblage","Unit 3b","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",0,87600,"U series (uranium-thorium) dating, geology (based on position of layers)","-","","","-",87600,1
"71","Al Wusta","AW, Unit 3-2, Fauna","Unit 2","Saudi Arabia","open air",38.098378,27.257211,"",91600,105600,"geology (based on position of layers)","-","","-","-",NA,NA
"72","Al Wusta","AW, Unit 3-2, Fauna","Unit 3a","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",85100,113000,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","","-","-",99688,1
"73","Al Wusta","AW, Unit 3-2, Fauna","Unit 3b","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",0,87600,"U series (uranium-thorium) dating, geology (based on position of layers)","-","","-","-",87600,1
"74","Al Wusta","AW, Unit 3-2, micromammals","Unit 2","Saudi Arabia","open air",38.098378,27.257211,"",91600,105600,"geology (based on position of layers)","-","","","-",NA,NA
"75","Al Wusta","AW, Unit 3-2, micromammals","Unit 3a","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",85100,113000,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","","","-",99688,1
"76","Al Wusta","AW, Unit 3-2, micromammals","Unit 3b","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",0,87600,"U series (uranium-thorium) dating, geology (based on position of layers)","-","","","-",87600,1
"77","Alberndorf I","Fauna","Layer 4","Austria","open air",16.112169,48.683372,"UP/ Aurignacian",26480,29270,"14C (radiocarbon) dating","3-2","","-","-",29884,1
"78","Altamura","Surface Level Macromammal Fauna","Surface Level","Italy","cave",16.587339,40.872072,"",6320,218000,"U series (uranium-thorium) dating","7-1","0","-","-",NA,NA
"79","Altamura","Surface Level Micromammal Fauna","Surface Level","Italy","cave",16.587339,40.872072,"",6320,218000,"U series (uranium-thorium) dating","7-1","0","-","-",NA,NA
"80","Amud Cave","B1, Fauna","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","245","3","-",56182,0.999999826782865
"81","Amud Cave","B2, Fauna","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","229","33","-",45610,0.999999604510819
"82","Amud Cave","B1, micromammals","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","195","194","-",56182,0.999999826782865
"83","Amud Cave","B2, micromammals","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","165","164","-",45610,0.999999604510819
"84","Amud Cave","B4, micromammals","Layer B4","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",59000,81000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","4","159","157","-",68634,0.999999543291693
"85","Amud Cave","human remains 01","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",56182,0.999999826782865
"86","Amud Cave","human remains 02","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"87","Amud Cave","human remains 03","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"88","Amud Cave","human remains 04","Layer B4","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",59000,81000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","4","-","-","-",68634,0.999999543291693
"89","Amud Cave","human remains 05","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",56182,0.999999826782865
"90","Amud Cave","human remains 05","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"91","Amud Cave","human remains 07","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"92","Amud Cave","human remains 08","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",56182,0.999999826782865
"93","Amud Cave","human remains 09","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"94","Amud Cave","human remains 10","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"95","Amud Cave","human remains 11","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"96","Amud Cave","human remains 12","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"97","Amud Cave","human remains 13","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"98","Amud Cave","human remains 16","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",56182,0.999999826782865
"99","Amud Cave","human remains 17","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"100","Amud Cave","human remains 18","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-",45610,0.999999604510819
"101","Antu","Layer 1 fauna","Layer 1","China","cave",128.933333,43.083333,"",0,1000000,"unknown","-","","-","-",NA,NA
"102","Antu","Layer 2 fauna","Layer 2","China","cave",128.933333,43.083333,"",0,1000000,"unknown","-","","-","-",NA,NA
"103","Antu","Layer 3 fauna","Layer 3","China","cave",128.933333,43.083333,"",0,1000000,"unknown","-","","-","-",NA,NA
"104","Antu","Layer 4 fauna","Layer 4","China","cave",128.933333,43.083333,"",0,1000000,"unknown","-","","-","-",NA,NA
"105","Apidima Cave Gamma","Fauna","Cave breccia","Greece","cave",22.3636,36.6736,"",10000,45000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating","-","","-","-",20000,0.216135572462992
"106","Ararat-1 Cave","Unit 2a, Fauna","Unit 2a","Armenia","cave",44.77,39.85,"",30900,35900,"OSL (optically stimulated thermoluminescence) dating","3","3","-","-",186600,0.499999979217537
"107","Ararat-1 Cave","Unit 2b, Fauna","Unit 2b","Armenia","cave",44.77,39.85,"",32600,37600,"OSL (optically stimulated thermoluminescence) dating","3","3","-","-",184900,0.199999999846077
"108","Ararat-1 Cave","Unit 2c, Fauna","Unit 2c","Armenia","cave",44.77,39.85,"",32600,48100,"stratigraphy","3","1","-","-",NA,NA
"109","Ararat-1 Cave","Unit 2d, Fauna","Unit 2d","Armenia","cave",44.77,39.85,"",42100,48100,"OSL (optically stimulated thermoluminescence) dating","3","2","-","-",45100,1
