"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","X","Y","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage","millenium","bio01","bio05","bio06","bio10","bio11","bio12","bio19","npp","biome","centrank","Suit"
"Cueva del Angel","Cueva del Angel Unit I - XVI Fauna","Unit VIII","Spain","cave",-4.478842,37.369444,"LP/ Acheulean - Europe",111000,132000,"U series (uranium-thorium) dating","-","3560","-","-",121000,0.999999999999656,121000,15.9586391448975,28.4392566680908,8.20349216461182,26.346960067749,8.65498733520508,507.148376464844,182.859313964844,228.488525390625,15,NA,NA
"El Castillo","El Castillo Unit 21 human remains","Unit 21","Spain","cave",-3.966,43.292,"",59800,78400,"ESR (electron spin resonance) dating","-","-","-","-",69152,0.999999959821789,69000,6.05788040161133,10.1203012466431,1.74468421936035,9.85490036010742,2.1403603553772,939.751586914062,260.496917724609,62.9291572570801,-497885120,NA,NA
"El Castillo","El Castillo Unit 22 human remains","Unit 22","Spain","cave",-3.966,43.292,"",60700,80000,"ESR (electron spin resonance) dating","-","-","-","-",70245,0.999999937411173,70000,6.77121019363403,11.1156940460205,2.39998483657837,10.7703914642334,2.81390380859375,955.858581542969,264.606903076172,181.771530151367,-497885120,NA,NA
"El Castillo","El Castillo Exc. 1910-14 Unit 21 fauna","Unit 21","Spain","cave",-3.966,43.292,"",59800,78400,"ESR (electron spin resonance) dating","-","40","-","-",63448,0.999999986607263,63000,5.45134592056274,10.7790517807007,0.711149573326111,10.2480173110962,1.04675376415253,901.927551269531,264.903411865234,68.0258941650391,-497885120,NA,NA
"El Castillo","El Castillo Exc. 1910-14 Unit 22 fauna","Unit 22","Spain","cave",-3.966,43.292,"",60700,80000,"ESR (electron spin resonance) dating","-","1213","-","-",77679,0.999999987482234,78000,7.6558690071106,13.8625955581665,2.84252905845642,13.2037687301636,3.22478818893433,968.337951660156,288.789367675781,299.660980224609,-497885120,NA,NA
"El Salt","El Salt Fauna Unidad D Layer Xb","Unidad D","Spain","cave",-0.383,39.655,"MP/ Middle Paleolithic - Eurasia",44400,56900,"TL (thermoluminescence) dating, archaeological (cultural) stratigraphy","-","724","157","-",52300,0.999999999998905,52000,12.5508232116699,20.9012832641602,7.19579744338989,19.8425521850586,7.39895915985107,451.608703613281,112.846565246582,459.232788085938,-129938000,NA,NA
"Fossellone","Fossellone human remains 01","Unit F26","Italy","cave",13.080461,41.223447,"MP/ Late Mousterian - Eurasia",51000,56000,"14C (radiocarbon) dating, TL (thermoluminescence) dating","-","-","-","-",55613,1,56000,11.6711454391479,20.7416114807129,4.84947967529297,19.5656089782715,5.15835189819336,712.259704589844,230.5732421875,140.733810424805,-515325440,NA,NA
"Geißenklösterle","Geißenklösterle GH 21 Micro-Mammal Fauna","GH 21","Germany","rock shelter",9.7713,48.3983,"MP/ Mousterian - Eurasia",64000,104000,"ESR (electron spin resonance) dating, archaeological (cultural) stratigraphy","5d-5c","61","60","-",51780,0.999999999352194,52000,3.93293452262878,14.2558536529541,-5.45311069488525,13.2981376647949,-4.74326419830322,685.99462890625,105.74585723877,392.880676269531,8.97255706787109,NA,NA
"Genay - Brèche","Genay - Brèche Macrofauna","Unit G","France","open air",4.3189,47.53475,"MP/ Mousterian - Eurasia",71000,116500,"archaeological (cultural) stratigraphy, geology (based on position of layers), palynology, stratigraphy","5d-4","1248","-","-",75174,0.999516238318958,75000,6.92788553237915,14.9301061630249,-0.303010284900665,13.85622215271,0.218424707651138,752.805358886719,186.217727661133,383.21337890625,5.70039081573486,NA,NA
"Grotta Maggiore di San Bernardino","Grotta Maggiore di San Bernardino Layer VI fauna","Unit VI","Italy","cave",11.553914,45.423019,"",101000,154000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating, geology (based on position of layers)","-","651","41","1",133000,0.93610583714145,133000,6.3104362487793,18.0066947937012,-5.47653818130493,16.6560287475586,-4.31047058105469,828.802795410156,179.577438354492,434.073272705078,13.4207696914673,NA,NA
"Grotta Maggiore di San Bernardino","Grotta Maggiore di San Bernardino Layer V -IV fauna","Unit IV","Italy","cave",11.553914,45.423019,"",65000,101000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating, geology (based on position of layers)","-","233","8","2",83000,0.999767395121212,83000,8.10753440856934,22.2856216430664,-3.2304539680481,19.8355464935303,-2.20040130615234,840.90576171875,186.212341308594,463.514251708984,10.2112827301025,NA,NA
"Grotta Maggiore di San Bernardino","Grotta Maggiore di San Bernardino Layer V -IV fauna","Unit V","Italy","cave",11.553914,45.423019,"",101000,154000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating, geology (based on position of layers)","-","233","8","2",108000,0.999999997347038,108000,6.263023853302,19.5514907836914,-4.8767523765564,17.2969036102295,-3.97699213027954,795.358337402344,185.025955200195,398.633056640625,18.4966945648193,NA,NA
"Grotta di Santo Agostino","Grotta di Santo Agostino Unit A2 Fauna","Unit A2","Italy","cave",13.494,41.234,"MP/ Middle Paleolithic - Eurasia",43000,60000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating, geology (based on position of layers)","-","455","78","-",53000,0.999998787624779,53000,12.5728130340576,21.7783355712891,5.36462545394897,20.551513671875,5.83541011810303,733.010803222656,233.55940246582,210.512573242188,-32874268,NA,NA
"Grotta di Santo Agostino","Grotta di Santo Agostino Unit A3 Fauna","Unit A3","Italy","cave",13.494,41.234,"MP/ Middle Paleolithic - Eurasia",43000,65000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating, geology (based on position of layers)","-","249","47","-",54000,0.999002429136317,54000,12.3716993331909,21.6126747131348,5.21191358566284,20.3837585449219,5.65090560913086,725.73486328125,231.361450195312,200.956268310547,-32874268,NA,NA
"Grotte du Lazaret","Grotte du Lazaret C-III UA 1-4 fauna","Unit C-III","France","cave",7.294928,43.690508,"LP/ Acheulean - Europe",130000,150000,"geology (based on position of layers), ESR (electron spin resonance) dating, U series (uranium-thorium) dating","6","2127","","-",117969,0.999999999431314,118000,12.4190301895142,19.8330593109131,6.67242050170898,18.7462882995605,7.11553001403809,910.571960449219,242.861602783203,375.056488037109,-521018112,NA,NA
"Grotte du Lazaret","Grotte du Lazaret C-III UA 5-7 fauna","Unit C-III","France","cave",7.294928,43.690508,"LP/ Acheulean - Europe",130000,150000,"geology (based on position of layers), ESR (electron spin resonance) dating, U series (uranium-thorium) dating","6","1607","","-",117313,0.999995475914115,117000,12.1176767349243,18.9983501434326,6.38311290740967,18.0951061248779,6.80358600616455,898.928527832031,240.815338134766,428.252593994141,-521018112,NA,NA
"Grotte du Lazaret","Grotte du Lazaret C-III UA 8-9 fauna","Unit C-III","France","cave",7.294928,43.690508,"LP/ Acheulean - Europe",130000,150000,"geology (based on position of layers), ESR (electron spin resonance) dating, U series (uranium-thorium) dating","6","1740","","-",121890,0.99990185107471,122000,12.4926490783691,22.1038131713867,5.83570289611816,20.6534767150879,6.33660984039307,918.435668945312,256.171081542969,348.231689453125,-521018112,NA,NA
"Grotte du Lazaret","Grotte du Lazaret C-III UA 10-12 fauna","Unit C-III","France","cave",7.294928,43.690508,"LP/ Acheulean - Europe",130000,150000,"geology (based on position of layers), ESR (electron spin resonance) dating, U series (uranium-thorium) dating","6","1696","","-",118745,0.999999998673066,119000,12.2751941680908,20.2148113250732,6.46866416931152,18.9867382049561,6.91046524047852,915.823547363281,247.572570800781,352.75390625,-521018112,NA,NA
"Gruta da Figueira Brava","Area C Macromammal Fauna","C. 1","Portugal","cave",-8.986111,38.470556,"",14000,84500,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","5a-2","498","-","-",52156,0.999995234063779,52000,13.1066017150879,18.7992191314697,9.04578971862793,18.2216510772705,9.22070503234863,1005.44049072266,478.862762451172,182.376007080078,-276492128,NA,NA
"Gruta da Figueira Brava","Area C Macromammal Fauna","C. 4","Portugal","cave",-8.986111,38.470556,"",91500,102500,"OSL (optically stimulated thermoluminescence) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","5c","498","-","-",110200,1,110000,13.5603952407837,19.6553936004639,8.6674633026123,19.1438007354736,8.81598854064941,930.391357421875,431.251281738281,203.927383422852,-276492128,NA,NA
"Guattari","Guattari Layer 0 Fauna","Layer 0","Italy","cave",13.096311,41.232358,"",11000,55000,"ESR (electron spin resonance) dating, geology (based on position of layers)","-","957","-","-",62000,0.999999999986923,62000,10.4909734725952,19.6682395935059,3.81882286071777,18.4605331420898,3.98492908477783,676.782409667969,220.497085571289,163.371200561523,-515325440,NA,NA
"Guattari","Guattari Layer 1 Fauna","Layer 1","Italy","cave",13.096311,41.232358,"MP/ Middle Paleolithic - Eurasia",55000,80000,"ESR (electron spin resonance) dating, geology (based on position of layers)","-","695","-","-",54051,0.999999691802077,54000,12.5499296188354,21.6883163452148,5.59683561325073,20.4553623199463,5.99496650695801,736.909118652344,238.319381713867,152.927398681641,-515325440,NA,NA
