"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","longitude","latitude","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage","millenium","bio01","bio05","bio06","bio10","bio11","bio12","bio19","npp","biome","centrank","Suit"
"Grotte du Lazaret","Grotte du Lazaret C-III UA 8-9 fauna","Unit C-III","France","cave",7.2949,43.6909,"LP/ Acheulean - Europe",130000,150000,"geology, ESR (electron spin resonance) dating, U series (uranium-thorium) dating","6",1740,NA,NA,121890,0.999901851,122000,12.4926490783691,17.0884323120117,9.38358592987061,20.6534767150879,6.33660984039307,918.435668945312,578.575012207031,348.231689453125,-521018112,495,0.670158426570257
"Grotte du Lazaret","Grotte du Lazaret C-III UA 10-12 fauna","Unit C-III","France","cave",7.2949,43.6909,"LP/ Acheulean - Europe",130000,150000,"geology, ESR (electron spin resonance) dating, U series (uranium-thorium) dating","6",1696,NA,NA,118745,0.999999999,119000,12.2751941680908,14.0500020980835,10.01243019104,18.9867382049561,6.91046524047852,915.823547363281,622.295959472656,352.75390625,-521018112,580,0.676993912107413
"Guattari","Guattari Layer 0 Fauna","Layer 0","Italy","cave",13.1,41.24,"",11000,55000,"ESR (electron spin resonance) dating, geology","",957,NA,NA,62000,1,62000,10.4909734725952,15.4213781356812,5.78088617324829,18.4605331420898,3.98492908477783,676.782409667969,305.159149169922,163.371200561523,-515325440,781,0.605618136555323
"Guattari","Guattari Layer 1 Fauna","Layer 1","Italy","cave",13.1,41.24,"MP/ Middle Paleolithic - Eurasia",55000,80000,"ESR (electron spin resonance) dating, geology","",695,NA,NA,54051,0.999999692,54000,12.5499296188354,17.9318752288818,7.90799808502197,20.4553623199463,5.99496650695801,736.909118652344,345.499176025391,152.927398681641,-515325440,1500,0.586072606819349
"Guattari","Guattari Layer 5 Fauna","Layer 5","Italy","cave",13.1,41.24,"MP/ Middle Paleolithic - Eurasia",55000,80000,"ESR (electron spin resonance) dating, geology","",49,NA,NA,71099,0.999996908,71000,11.9326229095459,14.3388748168945,8.27459239959717,17.8270893096924,6.35848999023438,688.226257324219,356.138305664062,148.473724365234,-515325440,1407,0.571924089470379
"Jänschwalde","JW Unit 10 Fauna","Unit 10","Germany","open air",14.540268,51.860265,"MP/ Middle Paleolithic - Eurasia",129000,774000,"geology, macrobotanical remains, palynology","6",61,NA,NA,110000,1,110000,2.73348760604858,9.80378913879395,-4.37185335159302,14.1782865524292,-9.05386352539062,480.147277832031,262.243377685547,471.086730957031,8.90195846557617,5417,0.243770353876946
"Jänschwalde","JW Unit 9 Micromammals","Unit 9","Germany","open air",14.540268,51.860265,"",116000,130000,"geology, macrobotanical remains, palynology","5e",NA,NA,NA,90832,1,91000,3.7724940776825,9.8111572265625,-3.85533142089844,14.8252477645874,-8.33383846282959,498.742431640625,312.156555175781,465.037658691406,4,5308,0.313182655687611
"Krapina","Krapina Layer c1 fauna","Complex II Unit c1","Croatia","rock shelter",15.8636111,46.1652778,"MP/ Mousterian - Eurasia",120000,140000,"ESR (electron spin resonance) dating","5",NA,NA,NA,133372,0.954395138,133000,4.70650863647461,11.6472492218018,-2.51484203338623,15.410961151123,-6.78770017623901,1031.15686035156,627.569519042969,556.123229980469,5.55437755584717,1941,0.546217376190325
"Krapina","Krapina Layer c5 fauna","Complex II Unit c5","Croatia","rock shelter",15.8636111,46.1652778,"MP/ Mousterian - Eurasia",120000,140000,"ESR (electron spin resonance) dating","5",NA,NA,NA,130966,0.599912598,131000,6.46661186218262,16.1373882293701,-0.884828150272369,18.7284545898438,-5.36720848083496,1040.2685546875,650.704833984375,690.494995117188,4,3405,0.460850606828608
"Krapina","Krapina Layer c7 fauna","Complex II Unit c7","Croatia","rock shelter",15.8636111,46.1652778,"MP/ Mousterian - Eurasia",120000,140000,"ESR (electron spin resonance) dating","5",NA,NA,NA,69700,1,70000,3.82422208786011,5.43448781967163,-0.496541500091553,10.7832813262939,-5.06018829345703,1016.89672851562,640.22607421875,502.913818359375,9.70359039306641,1459,0.552342546251545
"Krapina","Krapina Layer c9 fauna","Complex II Unit c9","Croatia","rock shelter",15.8636111,46.1652778,"MP/ Mousterian - Eurasia",120000,140000,"ESR (electron spin resonance) dating","5",NA,NA,NA,87327,1,87000,4.46969556808472,12.4860000610352,-2.62616157531738,15.7841939926147,-6.99932479858398,1021.29010009766,637.6845703125,534.720397949219,5.55437755584717,1561,0.55775291251912
"Kulna Cave","Kulna layer 9 fauna","Unit 9b","Czech Republic","cave",16.7379833,49.4076306,"MP/ Micoquian",65100,77500,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating","",NA,NA,NA,70211,0.999999999,70000,0.72078263759613,3.25538516044617,-4.37704563140869,8.97038650512695,-9.14184284210205,522.452270507812,277.519683837891,302.108795166016,10,5185,0.21894613769978
"Kulna Cave","Kulna layer 11a fauna","Unit 11","Czech Republic","cave",16.7379833,49.4076306,"MP/ Middle Paleolithic - Eurasia",70600,84400,"stratigraphy","",NA,NA,NA,76664,0.926036999,77000,3.56997847557068,8.27081298828125,-0.457430452108383,12.8809900283813,-5.63136529922485,558.619445800781,303.337158203125,407.168090820312,9.14306640625,3687,0.401657010058852
"Kulna Cave","Kulna layer 12 fauna","Unit 12a","Czech Republic","cave",16.7379833,49.4076306,"MP/ Middle Paleolithic - Eurasia",84800,102200,"OSL (optically stimulated thermoluminescence) dating","",NA,NA,NA,93500,1,94000,4.66130018234253,7.74583101272583,-0.785829126834869,13.4404268264771,-5.63612079620361,588.437194824219,368.110107421875,468.229095458984,7.58858489990234,3584,0.462166485653297
"Kulna Cave","Kulna layer 14, micromammals","Unit 14","Czech Republic","cave",16.7379833,49.4076306,"MP/ Middle Paleolithic - Eurasia",89200,106800,"OSL (optically stimulated thermoluminescence) dating","",NA,NA,NA,98000,1,98000,5.477614402771,9.31766319274902,1.34480202198029,14.9547605514526,-3.78441023826599,595.281311035156,357.751312255859,451.20849609375,7.30801677703857,3049,0.506283381675236
"La Chaise - Bourgeois-Delaunay","La Chaise - Bourgeois-Delaunay Layer 8","Unit 8 prime","France","cave",0.446667,45.67,"MP/ Mousterian - Eurasia",91000,116000,"geology, large mammal biostratigraphy, micromorphology","5d",NA,NA,NA,70500,0.999999986,70000,6.43370866775513,7.49739408493042,3.10350680351257,11.0959625244141,1.33439528942108,787.763122558594,706.47607421875,344.083923339844,14.4576940536499,220,0.696358722541326
"La Chaise - Suard","La Chaise - Suard Layer III - VIII","Layer III","France","cave",0.446667,45.67,"MP/ Mousterian - Eurasia",126000,287000,"geology","",NA,NA,NA,70618,1,71000,7.39795112609863,8.68477344512939,4.03370141983032,12.3857908248901,2.20814442634583,803.521728515625,730.529479980469,369.009643554688,5.43889665603638,132,0.712259944500523
